RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,405_46,46,1995,10,12,1318,D2,15,D,53.8000,7.8333,-9,-9,36F7,-9,10,V,405_46,1,1,R,-9,BC,1,960,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.9,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,960,-9,-9,6,-9,-9,O,-9,-9,0.00576,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,405_49,49,1995,10,12,1451,D4,15,D,53.8166,7.6333,-9,-9,36F7,-9,16,V,405_49,1,1,R,-9,BC,1,1060,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,2,-9,-9,15,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1060,-9,-9,6,-9,-9,O,-9,-9,0.00636,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,405_47,47,1995,10,12,1346,D3,15,D,53.8333,7.7833,-9,-9,36F7,-9,15,V,405_47,1,1,R,-9,BC,1,1020,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,15.2,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1020,-9,-9,6,-9,-9,O,-9,-9,0.00612,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,405_45,45,1995,10,12,1117,D2,15,D,53.9166,8.2000,-9,-9,36F8,-9,6,V,405_45,1,1,R,-9,BC,1,1110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.6,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1110,-9,-9,6,-9,-9,O,-9,-9,0.00666,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_44,44,1995,10,12,1052,D4,15,D,53.9333,8.1333,-9,-9,36F8,-9,18,V,406_44,1,1,R,-9,BC,1,1080,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.7,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1080,-9,-9,6,-9,-9,O,-9,-9,0.00648,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_43,43,1995,10,12,944,D4,15,D,54.0333,8.1833,-9,-9,37F8,-9,16,V,406_43,1,1,R,-9,BC,1,1010,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.6,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1010,-9,-9,6,-9,-9,O,-9,-9,0.00606,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_42,42,1995,10,12,855,D2,15,D,54.0333,8.3333,-9,-9,37F8,-9,6,V,406_42,1,1,R,-9,BC,1,1020,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.4,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1020,-9,-9,6,-9,-9,O,-9,-9,0.00612,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_41,41,1995,10,12,812,D1,15,D,54.0333,8.4666,-9,-9,37F8,-9,4,V,406_41,1,1,R,-9,BC,1,1030,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,359,-9,-9,-9,14.4,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1030,-9,-9,6,-9,-9,O,-9,-9,0.00618,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_40,40,1995,10,11,1720,D3,15,D,54.1166,8.3833,-9,-9,37F8,-9,11,V,406_40,1,1,R,-9,BC,1,1100,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,90,2,-9,-9,14,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1100,-9,-9,6,-9,-9,O,-9,-9,0.0066,20212210
HH,DYFS,4,NL,64SS,BT6,-9,SB,-9,406_39,39,1995,10,11,1650,D2,15,D,54.1333,8.4666,-9,-9,37F8,-9,10,V,406_39,1,1,R,-9,BC,1,1080,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,90,2,-9,-9,14,-9,-9,-9,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,1080,-9,-9,6,-9,-9,O,-9,-9,0.00648,20212210
