RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,meanLong,meanLat,BeamWidth,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,Flag_SweptAreaDSKM2,Flag_SweptAreaWSKM2,Flag_SweptAreaBWKM2,Depth_gam,DateofCalculation
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,79,40,1992,8,27,1049,NA,42,D,55.8500,0.0833,NA,NA,40F0,V,80,1,1,C,5.4,NA,NA,5088.822233,404,24,NA,4.5,1400,78,20.19496802,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833,55.85,NA,0.396928134,0.102768602,NA,NA,NA,NA,84,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,85,43,1992,8,28,1722,NA,30,D,56.5000,-1.3500,NA,NA,42E8,V,86,1,1,C,5.4,NA,NA,3634.873023,305,24,NA,4.5,1400,76,19.84153927,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35,56.5,NA,0.27625035,0.072121476,NA,NA,NA,NA,64,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,83,42,1992,8,28,1243,NA,30,D,56.5000,-0.4833,NA,NA,42E9,V,84,1,1,C,5.4,NA,NA,3634.873023,366,24,NA,4.5,1400,77,20.03592508,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4833,56.5,NA,0.279885223,0.072828044,NA,NA,NA,NA,75,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,47,24,1992,8,22,1238,NA,30,D,56.5833,6.8833,NA,NA,42F6,V,48,1,1,C,5.8,NA,NA,3634.873023,199,24,NA,4.5,1400,67,19.36441044,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8833,56.5833,NA,0.243536493,0.070387173,NA,NA,NA,NA,37,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,61,31,1992,8,24,1726,NA,30,D,56.6333,2.4167,NA,NA,42F2,V,62,1,1,C,5.3,NA,NA,3634.873023,358,24,NA,4.5,1400,79,20.00058221,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4167,56.6333,NA,0.287154969,0.072699577,NA,NA,NA,NA,73,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,75,38,1992,8,26,1511,NA,30,D,56.6833,1.4000,NA,NA,42F1,V,76,1,1,C,5.2,NA,NA,3634.873023,428,24,NA,4.5,1400,81,20.46003959,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,56.6833,NA,0.294424715,0.074369646,NA,NA,NA,NA,99,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,52,26,1992,8,23,629,NA,30,D,56.7167,4.6333,NA,NA,42F4,V,51,1,1,C,5.3,NA,NA,3634.873023,313,24,NA,4.5,1400,74,19.73551064,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6333,56.7167,NA,0.268980604,0.071736075,NA,NA,NA,NA,58,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,64,32,1992,8,25,520,NA,30,D,56.7333,3.4500,NA,NA,42F3,V,63,1,1,C,5.4,NA,NA,3634.873023,313,24,NA,4.5,1400,75,19.82386783,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,56.7333,NA,0.272615477,0.072057242,NA,NA,NA,NA,63,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,49,25,1992,8,22,1723,NA,30,D,56.7833,5.7833,NA,NA,42F5,V,50,1,1,C,5.3,NA,NA,3634.873023,267,24,NA,4.5,1400,72,19.68249633,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7833,56.7833,NA,0.261710858,0.071543375,NA,NA,NA,NA,55,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,73,37,1992,8,26,1025,NA,30,D,56.8000,0.3833,NA,NA,42F0,V,74,1,1,C,5.3,NA,NA,3634.873023,404,24,NA,4.5,1400,79,20.10661083,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3833,56.8,NA,0.287154969,0.073084977,NA,NA,NA,NA,79,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,149,75,1992,9,10,1232,NA,30,D,57.0000,-1.7333,NA,NA,43E8,V,150,1,1,C,5.3,NA,NA,3634.873023,337,24,NA,4.5,1400,78,19.98291077,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7333,57,NA,0.283520096,0.072635343,NA,NA,NA,NA,72,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,72,36,1992,8,26,706,NA,30,D,57.0833,-0.3000,NA,NA,43E9,V,71,1,1,C,5.2,NA,NA,3634.873023,404,24,NA,4.5,1400,80,20.10661083,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,57.0833,NA,0.290789842,0.073084977,NA,NA,NA,NA,79,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,65,33,1992,8,25,823,NA,30,D,57.1000,3.2000,NA,NA,43F3,V,66,1,1,C,5.1,NA,NA,3634.873023,337,24,NA,4.5,1400,77,19.91222502,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,57.1,NA,0.279885223,0.07237841,NA,NA,NA,NA,68,20213009
HH,NS-IBTS,3,GB,74CZ,GOV,50,NA,P,69,35,1992,8,25,1836,NA,30,D,57.2000,1.5000,NA,NA,43F1,V,70,1,1,C,5.2,NA,NA,3634.873023,428,24,NA,4.5,1400,82,20.40702528,175,0.7,210,NA,NA,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,57.2,NA,0.298059588,0.074176946,NA,NA,NA,NA,96,20213009
HH,NS-IBTS,3,FR,35TH,GOV,50,NA,P,T389,52,1993,9,27,1440,NA,30,D,54.8667,8.0667,54.8667,8.0667,38F8,V,9389,1,1,C,7,NA,NA,4097,150,22,NA,4.5,1300,60,16,145,0.7,210,180,4.4,-9,NA,-9,NA,-9,90,3,0,0,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0667,54.8667,NA,0.24582,0.065552,NA,NA,NA,NA,11,20213009
HH,NS-IBTS,3,FR,35TH,GOV,50,NA,P,T390,53,1993,9,27,1630,NA,30,D,54.7667,7.7833,54.7667,7.7833,38F7,V,9390,1,1,C,6.5,NA,NA,3780,150,22,NA,4.5,1300,60,26,145,0.7,210,230,4.2,-9,NA,-9,NA,-9,60,2,10,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7833,54.7667,NA,0.2268,0.09828,NA,NA,NA,NA,13,20213009
