RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_04,4,1985,9,30,1917,-9,15,D,52.4833,4.0500,-9,-9,33F4,-9,23,V,630_04,1,1,R,-9,-9,4,1628,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,16.5,-9,27.86,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1628,-9,-9,6,-9,-9,O,-9,-9,0.009768,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_06,6,1985,9,30,2153,-9,15,N,52.5000,3.5500,-9,-9,33F3,-9,27,V,630_06,1,1,R,-9,-9,4,1628,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,225,4,-9,-9,16.4,-9,27.85,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1628,-9,-9,6,-9,-9,O,-9,-9,0.009768,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_05,5,1985,9,30,2037,-9,15,N,52.5000,3.7833,-9,-9,33F3,-9,25,V,630_05,1,1,R,-9,-9,4,1591,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,225,2,-9,-9,16.5,-9,27.85,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1591,-9,-9,6,-9,-9,O,-9,-9,0.009546,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_03,3,1985,9,30,1816,-9,15,D,52.5166,4.2000,-9,-9,34F4,-9,20,V,630_03,1,1,R,-9,-9,4,1628,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,16.5,-9,27.87,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1628,-9,-9,6,-9,-9,O,-9,-9,0.009768,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_02,2,1985,9,30,1649,-9,15,D,52.5333,4.3666,-9,-9,34F4,-9,18,V,630_02,1,1,R,-9,-9,4,1554,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,16.7,-9,27.95,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1554,-9,-9,6,-9,-9,O,-9,-9,0.009324,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_01,1,1985,9,30,1545,-9,15,D,52.5333,4.5333,-9,-9,34F4,-9,16,V,630_01,1,1,R,-9,-9,4,1647,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,17,-9,28,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1647,-9,-9,6,-9,-9,O,-9,-9,0.009882,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_04,4,1986,9,30,1923,-9,15,D,52.4833,4.0500,-9,-9,33F4,-9,24,V,630_04,1,1,R,-9,-9,4,1665,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,15,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1665,-9,-9,6,-9,-9,O,-9,-9,0.00999,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_06,6,1986,9,30,2204,-9,15,N,52.5000,3.5500,-9,-9,33F3,-9,31,V,630_06,1,1,R,-9,-9,4,1776,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,15,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1776,-9,-9,6,-9,-9,O,-9,-9,0.010656,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_05,5,1986,9,30,2045,-9,15,N,52.5000,3.7833,-9,-9,33F3,-9,25,V,630_05,1,1,R,-9,-9,4,1647,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,15.2,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1647,-9,-9,6,-9,-9,O,-9,-9,0.009882,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_03,3,1986,9,30,1826,-9,15,D,52.5166,4.1833,-9,-9,34F4,-9,21,V,630_03,1,1,R,-9,-9,4,1665,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,15,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1665,-9,-9,6,-9,-9,O,-9,-9,0.00999,20212210
